event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
41292	1748853942.1801658	0.01941747572815533	236	440.00677	508	20136.412	846.39514	506	34310.69	0.0	0	0.0	0.0	0	0.0	147.99152	566	6990.833	218.99606	566	10617.326	0.0	0	0.0	0.0	0	0.0
41416	1748853943.6083775	0.01628959276018105	234	204.03235	507	6302.8867	193.4209	506	5798.7183	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	357.3911	565	10950.663	0.0	0	0.0
41571	1748853945.2896595	0.017924528301886844	334	316.0218	507	9963.202	651.298	508	20580.756	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	753.5218	592	24581.402	535.7714	590	17192.594
42638	1748853955.5244498	0.019543973941368087	228	283.9721	507	9805.654	269.0699	506	14231.716	0.0	0	0.0	0.0	0	0.0	460.01477	564	24600.75	155.28113	563	6570.88	0.0	0	0.0	0.0	0	0.0
43033	1748853959.2664082	0.019565217391304346	12024	176.02731	506	5790.9375	117.77191	503	3758.3677	0.0	0	0.0	0.0	0	0.0	344.01144	3511	10854.852	217.31976	3510	6828.8604	0.0	0	0.0	0.0	0	0.0
43262	1748853961.3449283	0.01967213114754096	8043	180.02585	507	5891.2065	197.40402	504	6285.449	202.9097	506	6207.138	233.63681	504	7349.5493	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	74.61859	2516	1947.3574
43800	1748853966.4974113	0.01931330472102999	652	296.02917	507	9618.99	452.23303	505	14059.977	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	95.5647	669	3487.1274	0.0	0	0.0	0.0	0	0.0
43841	1748853966.998109	0.013866231647634564	5157	132.02817	505	3974.5337	145.6539	503	4541.337	206.86209	506	6532.5103	102.45447	505	2818.0496	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	174.01266	1794	5112.961
45564	1748853982.7813923	0.018633540372670843	4814	284.0182	507	8786.945	157.58798	506	4940.3867	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	54.072357	1710	2175.9355	0.0	0	0.0	0.0	0	0.0
46528	1748853991.3756695	0.01754385964912286	1972	220.02646	507	6770.96	237.2201	505	7459.259	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	89.90527	999	3129.124	0.0	0	0.0	0.0	0	0.0
47148	1748853997.1919537	0.01734693877551019	7388	272.02264	508	8854.996	288.9856	506	9370.206	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	297.9823	2354	9771.928	0.0	0	0.0
48822	1748854012.9667146	0.020270270270270285	12798	128.02966	503	3654.5747	145.6539	502	4427.349	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	50.089203	3702	1315.6218	0.0	0	0.0	0.0	0	0.0
49145	1748854015.8588192	0.01964839710444677	976	320.0203	507	10215.367	890.1944	505	27811.719	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	66.02179	750	2083.0942	0.0	0	0.0	0.0	0	0.0
49716	1748854021.0821538	0.02197802197802201	2124	304.02618	508	9747.121	201.38718	508	6291.7383	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	72.17334	1039	2112.727	0.0	0	0.0
50992	1748854032.5142317	0.022673031026252954	2442	328.01733	509	10331.08	384.53494	508	11835.646	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	169.53741	1119	5493.5244	0.0	0	0.0	0.0	0	0.0
51617	1748854038.331532	0.02130177514792897	3764	336.0144	507	10783.31	237.2201	507	7467.5483	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	80.093506	1448	2538.6597	0.0	0	0.0
53730	1748854057.8382525	0.02251184834123221	1326	312.02325	507	9435.027	173.52054	506	5161.8003	167.24594	507	4947.5415	185.93134	506	5434.9165	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	94.50357	838	2761.1477
53808	1748854058.505704	0.019587628865979423	1840	132.02817	504	4126.6616	340.7511	502	10408.344	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	50.089203	963	1213.7678	0.0	0	0.0	0.0	0	0.0
54369	1748854063.7845266	0.018943170488534444	1866	276.02118	507	9631.541	261.11896	507	8368.753	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	262.31854	974	7975.686	78.601746	973	2277.08
54549	1748854065.4158404	0.02071973827699014	3458	591.98145	509	19263.047	623.41595	508	19477.645	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	129.72134	1373	4044.8618	0.0	0	0.0	0.0	0	0.0
54881	1748854068.7313914	0.015625	552	256.02856	506	8027.0957	340.7511	505	10719.381	0.0	0	0.0	0.0	0	0.0	168.03027	645	5234.8643	230.93011	642	7136.457	0.0	0	0.0	0.0	0	0.0
55921	1748854079.0678465	0.017142857142857126	246	308.02472	508	9706.895	241.20325	506	7826.602	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	80.093506	571	2649.5098	62.69992	566	1658.9713
56472	1748854084.4243183	0.02021276595744681	2586	260.02707	507	8927.264	559.71643	506	18037.672	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	85.92212	1153	2849.473	0.0	0	0.0	0.0	0	0.0
56521	1748854084.8802905	0.022950819672131195	6290	404.02005	507	13295.8	428.33417	506	13900.883	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	73.97269	2079	2180.3652	0.0	0	0.0	0.0	0	0.0
56994	1748854089.3309407	0.01870078740157477	5840	252.03001	507	7550.9033	153.60483	506	4305.763	0.0	0	0.0	0.0	0	0.0	232.02203	1968	7415.275	113.78876	1965	3567.9146	0.0	0	0.0	0.0	0	0.0
57151	1748854090.7489417	0.021943573667711602	744	200.03384	507	5926.8555	141.67078	507	4683.6064	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	54.072357	693	1435.7468	0.0	0	0.0	0.0	0	0.0
57771	1748854096.5181603	0.022067363530778206	224	168.03027	505	4818.831	237.2201	503	12921.012	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	147.3302	560	6357.392	0.0	0	0.0	0.0	0	0.0
58370	1748854102.2683334	0.019157088122605415	12092	184.02435	507	5730.7905	217.31976	506	7159.769	301.9347	506	9902.649	277.3745	505	9071.696	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	90.52042	3529	2416.1982
58532	1748854103.7780368	0.02021276595744681	3233	292.01526	508	8810.953	149.62167	506	4320.788	404.92743	507	12574.863	388.68726	506	12465.073	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	74.61859	1315	2194.5266
58568	1748854104.116437	0.02021276595744681	2028	468.0118	508	15479.364	292.96875	506	9009.153	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	300.93506	1014	9061.561	0.0	0	0.0	0.0	0	0.0
58981	1748854107.699792	0.022919179734619988	6544	200.03384	508	6419.0596	253.15268	507	7926.1494	488.12747	507	15642.226	170.02954	506	5281.7134	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	58.716766	2143	1451.9557
59078	1748854108.5477948	0.02033898305084747	11060	264.02557	507	7726.93	261.11896	506	8213.26	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	444.54355	3272	14738.988	213.76721	3271	6587.26
60524	1748854121.4931128	0.02060737527114964	1888	292.01526	508	8843.111	281.01932	506	8802.043	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	353.43872	979	11654.248	0.0	0	0.0
